Netid State  Recv-Q Send-Q                                          Local Address:Port                    Peer Address:Port  Process                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_seq ESTAB  0      0                                                           * 35528                              * 35527  users:(("Privileged Cont",pid=4669,fd=25))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 29920                              * 29918  users:(("systemd-journal",pid=368,fd=127),("systemd",pid=1,fd=337))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 29053                              * 28140  users:(("xdg-document-po",pid=2825,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                          /run/user/1000/bus 31273                              * 31272  users:(("dbus-daemon",pid=2790,fd=74))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 30589                              * 31136  users:(("dbus-daemon",pid=1051,fd=83))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 31022                              * 30514  users:(("snapd-desktop-i",pid=3486,fd=11))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                          /run/user/1000/bus 29935                              * 29934  users:(("dbus-daemon",pid=2790,fd=36))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 28133                              * 28135  users:(("xdg-document-po",pid=2825,fd=2),("xdg-document-po",pid=2825,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                                           * 31348                              * 31349  users:(("xdg-desktop-por",pid=3827,fd=11))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                                           * 30510                              * 30511  users:(("evolution-alarm",pid=3184,fd=10))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 31017                              * 30293  users:(("gnome-shell",pid=2993,fd=86),("gnome-shell",pid=2993,fd=85))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                          /run/user/1000/bus 41300                              * 42188  users:(("dbus-daemon",pid=2790,fd=89))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                 /run/dbus/system_bus_socket 31269                              * 31268  users:(("dbus-daemon",pid=1051,fd=47))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 31035                              * 31040  users:(("gsd-wacom",pid=3139,fd=10))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_dgr UNCONN 0      0                                                           * 28959                              * 0      users:(("wireplumber",pid=2777,fd=25))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 31214                              * 31805  users:(("xdg-desktop-por",pid=3760,fd=2),("xdg-desktop-por",pid=3760,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 42257                              * 42256  users:(("dbus-daemon",pid=3007,fd=27))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 35520                              * 35519  users:(("Privileged Cont",pid=4669,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                          /run/user/1000/bus 30306                              * 30305  users:(("dbus-daemon",pid=2790,fd=33))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 28511                              * 29554  users:(("gjs",pid=3111,fd=2))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
u_str ESTAB  0      0                                                           * 41452                              * 41453  users:(("gnome-shell",pid=2993,fd=187))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 31111                              * 31112  users:(("pipewire-pulse",pid=2778,fd=26))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 29922                              * 29924  users:(("gsd-sound",pid=3138,fd=2),("gsd-sound",pid=3138,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28122                              * 28990  users:(("systemd-journal",pid=368,fd=89),("systemd",pid=1,fd=379))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 35519                              * 35520  users:(("firefox",pid=4347,fd=99))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 31326                              * 31905  users:(("xdg-desktop-por",pid=3827,fd=2),("xdg-desktop-por",pid=3827,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
u_str ESTAB  0      0                                          /run/user/1000/bus 30336                              * 30335  users:(("dbus-daemon",pid=2790,fd=58))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 29956                              * 29957  users:(("gsd-datetime",pid=3120,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                        /run/user/1000/gvfsd/socket-r8klXUTN 42218                              * 41378  users:(("gvfsd-trash",pid=3608,fd=19))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 34999                              * 34038  users:(("firefox",pid=4347,fd=39))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 31187                              * 31193  users:(("gsd-xsettings",pid=3729,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 30982                              * 30506  users:(("systemd-journal",pid=368,fd=142),("systemd",pid=1,fd=317))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 30293                              * 31017  users:(("ibus-extension-",pid=3426,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 31278                              * 31841  users:(("ibus-x11",pid=3793,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 29936                              * 29947  users:(("gsd-housekeepin",pid=3121,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 28135                              * 28133  users:(("systemd-journal",pid=368,fd=91),("systemd",pid=1,fd=376))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 42189                              * 41303  users:(("nautilus",pid=5361,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                                           * 35536                              * 35535  users:(("Isolated Web Co",pid=4696,fd=8))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 31274                              * 31275  users:(("ibus-x11",pid=3793,fd=6))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str ESTAB  0      0                                      /run/snapd-snap.socket 30514                              * 31022  users:(("snapd",pid=1122,fd=15))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
u_str ESTAB  0      0                                          /run/user/1000/bus 31277                              * 31276  users:(("dbus-daemon",pid=2790,fd=79))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0               /home/administrator/.cache/ibus/dbus-cvAmAY82 30400                              * 30399  users:(("ibus-daemon",pid=3114,fd=15))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 30305                              * 30306  users:(("goa-identity-se",pid=3458,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 28148                              * 28149  users:(("fusermount3",pid=2887,fd=7))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 29937                              * 29939  users:(("gsd-smartcard",pid=3137,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
u_str ESTAB  0      0                                                           * 28992                              * 28124  users:(("wireplumber",pid=2777,fd=30),("wireplumber",pid=2777,fd=29),("wireplumber",pid=2777,fd=28))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
u_str ESTAB  0      0                                                           * 39807                              * 39808  users:(("firefox",pid=4347,fd=158))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                   /run/user/1000/pipewire-0 31112                              * 31111  users:(("pipewire",pid=2770,fd=42))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
u_str ESTAB  0      0                                                           * 42188                              * 41300  users:(("nautilus",pid=5361,fd=5))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_seq ESTAB  0      0                                                           * 35557                              * 35556  users:(("Isolated Web Co",pid=4696,fd=26))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str ESTAB  0      0                                                           * 31268                              * 31269  users:(("xdg-desktop-por",pid=3767,fd=12))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
u_str LISTEN 0      4096                  /run/systemd/resolve/io.systemd.Resolve 18470                              * 0      users:(("systemd-resolve",pid=669,fd=18))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                   /run/user/1000/at-spi/bus 42203                              * 41312  users:(("dbus-daemon",pid=3007,fd=26))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                 /run/systemd/journal/stdout 24853                              * 24173  users:(("systemd-journal",pid=368,fd=52),("systemd",pid=1,fd=393))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
u_str LISTEN 0      4096          /run/systemd/resolve/io.systemd.Resolve.Monitor 18471                              * 0      users:(("systemd-resolve",pid=669,fd=19))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 31018                              * 30308  users:(("gnome-shell",pid=2993,fd=88),("gnome-shell",pid=2993,fd=87))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                    /run/user/1000/wayland-0 31010                              * 29970  users:(("gnome-shell",pid=2993,fd=72),("gnome-shell",pid=2993,fd=71))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
u_str ESTAB  0      0                                                           * 29970                              * 31010  users:(("gsd-keyboard",pid=3125,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
u_str ESTAB  0      0                                                           * 28990                              * 28122  users:(("gdm-wayland-ses",pid=2832,fd=1))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
u_str ESTAB  0      0                                                           * 41420                              * 41421  users:(("gnome-terminal-",pid=5400,fd=3))                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
