COMMAND      PID                 USER   FD   TYPE             DEVICE SIZE/OFF   NODE NAME
systemd        1                 root  363u  unix 0xffff8d75c2b16400      0t0  29502 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  364u  unix 0xffff8d75c2b15400      0t0  29500 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  365u  unix 0xffff8d75c2b10400      0t0  29307 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  366u  unix 0xffff8d75bc36d400      0t0  29306 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  367u  unix 0xffff8d75997a1400      0t0  28324 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  368u  unix 0xffff8d75997a1c00      0t0  28265 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  369u  unix 0xffff8d75997a0800      0t0  28262 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  373u  unix 0xffff8d75997a0000      0t0  28248 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  374u  unix 0xffff8d7599948000      0t0  28209 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  375u  unix 0xffff8d75997a3000      0t0  28144 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  376u  unix 0xffff8d759994a800      0t0  28135 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  378u  unix 0xffff8d7599796c00      0t0  28123 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  379u  unix 0xffff8d7599794000      0t0  28122 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  380u  unix 0xffff8d759994e400      0t0  28831 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  381u  unix 0xffff8d758468d000      0t0  28802 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  382u  unix 0xffff8d768d12dc00      0t0  28797 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  383u  unix 0xffff8d768951c000      0t0  28786 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  384u  unix 0xffff8d758d67e000      0t0  28785 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  385u  unix 0xffff8d75813ee400      0t0  28745 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  386u  unix 0xffff8d758d67c400      0t0  26611 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  387u  unix 0xffff8d758d67c000      0t0  26579 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  388u  unix 0xffff8d758d67cc00      0t0  26578 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  389u  unix 0xffff8d76a5ee9000      0t0  24298 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  393u  unix 0xffff8d76ac6c6c00      0t0  24853 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  395u  unix 0xffff8d7695460c00      0t0  23366 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  397u  unix 0xffff8d76a5df6000      0t0  23231 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  405u  unix 0xffff8d76a3236c00      0t0  21225 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  406u  unix 0xffff8d769624bc00      0t0  21902 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  407u  unix 0xffff8d769bc07000      0t0  21901 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  408u  unix 0xffff8d76a3235400      0t0  21793 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  409u  unix 0xffff8d7696258800      0t0  21695 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  410u  unix 0xffff8d768c29d000      0t0  12560 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  411u  unix 0xffff8d768951c800      0t0  17247 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  412u  unix 0xffff8d768951ec00      0t0  17248 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  413u  unix 0xffff8d768951f800      0t0  17249 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  414u  unix 0xffff8d768c29f400      0t0  17671 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  415u  unix 0xffff8d768c29f000      0t0  17719 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  417u  unix 0xffff8d768d12f800      0t0  18932 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  418u  unix 0xffff8d768c941400      0t0  18951 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  419u  unix 0xffff8d768d12cc00      0t0  19014 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  420u  unix 0xffff8d768d12d400      0t0  19047 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  421u  unix 0xffff8d7695461000      0t0  19067 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  422u  unix 0xffff8d768cb40400      0t0  19082 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  423u  unix 0xffff8d7695463400      0t0  19118 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  424u  unix 0xffff8d768cb43800      0t0  19145 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  425u  unix 0xffff8d768cb42c00      0t0  19178 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  426u  unix 0xffff8d768cb40800      0t0  19202 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  427u  unix 0xffff8d7695460000      0t0  19321 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  428u  unix 0xffff8d76894bb800      0t0  19334 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  429u  unix 0xffff8d7696248c00      0t0  19341 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  430u  unix 0xffff8d768c943800      0t0  20546 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd        1                 root  434u  unix 0xffff8d76894bb400      0t0  10957 /run/systemd/journal/syslog type=DGRAM (UNCONNECTED)
systemd        1                 root  439u  unix 0xffff8d76894b9400      0t0  10960 /run/systemd/journal/dev-log type=DGRAM (CONNECTED)
systemd        1                 root  446u  unix 0xffff8d76894ba800      0t0  10966 /run/systemd/oom/io.systemd.ManagedOOM type=STREAM (LISTEN)
systemd        1                 root  449u  unix 0xffff8d768cba3000      0t0  18135 /run/uuidd/request type=STREAM (LISTEN)
systemd        1                 root  450u  unix 0xffff8d768cba2800      0t0  18124 /run/dbus/system_bus_socket type=STREAM (LISTEN)
systemd        1                 root  460u  unix 0xffff8d76894b8400      0t0  10958 /run/systemd/fsck.progress type=STREAM (LISTEN)
systemd        1                 root  461u  unix 0xffff8d7696249400      0t0  19695 /run/cups/cups.sock type=STREAM (LISTEN)
systemd        1                 root  469u  unix 0xffff8d768c29d800      0t0  12123 /run/systemd/io.systemd.sysext type=STREAM (LISTEN)
systemd        1                 root  475u  unix 0xffff8d768cba3800      0t0  18128 /run/snapd.socket type=STREAM (LISTEN)
systemd        1                 root  476u  unix 0xffff8d768cba2400      0t0  18129 /run/snapd-snap.socket type=STREAM (LISTEN)
systemd        1                 root  477u  unix 0xffff8d768cba1400      0t0  18117 /run/avahi-daemon/socket type=STREAM (LISTEN)
systemd        1                 root  482u  unix 0xffff8d76894b8000      0t0  10968 /run/udev/control type=SEQPACKET (LISTEN)
systemd-j    368                 root    3u  unix 0xffff8d76894b9400      0t0  10960 /run/systemd/journal/dev-log type=DGRAM (CONNECTED)
systemd-j    368                 root    4u  unix 0xffff8d76894bb000      0t0  10962 /run/systemd/journal/socket type=DGRAM (CONNECTED)
systemd-j    368                 root    5u  unix 0xffff8d76894bbc00      0t0  10964 /run/systemd/journal/stdout type=STREAM (LISTEN)
systemd-j    368                 root    9u  unix 0xffff8d768951d400      0t0   9808 /run/systemd/journal/io.systemd.journal type=STREAM (LISTEN)
systemd-j    368                 root   14u  unix 0xffff8d768951e800      0t0   9811 type=DGRAM (CONNECTED)
systemd-j    368                 root   17u  unix 0xffff8d76a5df5400      0t0 298300 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   18u  unix 0xffff8d768c29f400      0t0  17671 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   19u  unix 0xffff8d768951c800      0t0  17247 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   20u  unix 0xffff8d768951ec00      0t0  17248 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   21u  unix 0xffff8d768951f800      0t0  17249 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   22u  unix 0xffff8d768c29d000      0t0  12560 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   23u  unix 0xffff8d768c943800      0t0  20546 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   24u  unix 0xffff8d768c29f000      0t0  17719 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   25u  unix 0xffff8d768d12f800      0t0  18932 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   26u  unix 0xffff8d758d67cc00      0t0  26578 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   28u  unix 0xffff8d768d12cc00      0t0  19014 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   29u  unix 0xffff8d768c941400      0t0  18951 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   30u  unix 0xffff8d7695460000      0t0  19321 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   31u  unix 0xffff8d76a3236c00      0t0  21225 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   32u  unix 0xffff8d768d12d400      0t0  19047 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   33u  unix 0xffff8d7695461000      0t0  19067 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   34u  unix 0xffff8d768cb40400      0t0  19082 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   35u  unix 0xffff8d7695463400      0t0  19118 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   36u  unix 0xffff8d768cb43800      0t0  19145 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   37u  unix 0xffff8d768cb42c00      0t0  19178 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   38u  unix 0xffff8d758d67c000      0t0  26579 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   39u  unix 0xffff8d768cb40800      0t0  19202 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   40u  unix 0xffff8d758468ec00      0t0  36029 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   41u  unix 0xffff8d76894bb800      0t0  19334 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   42u  unix 0xffff8d7696248c00      0t0  19341 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   43u  unix 0xffff8d758d67c400      0t0  26611 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   44u  unix 0xffff8d7696258800      0t0  21695 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   45u  unix 0xffff8d75813e4800      0t0  31782 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   46u  unix 0xffff8d76a3235400      0t0  21793 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   47u  unix 0xffff8d769bc07000      0t0  21901 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   48u  unix 0xffff8d769624bc00      0t0  21902 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   49u  unix 0xffff8d769625b800      0t0  31805 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   50u  unix 0xffff8d75e0032c00      0t0  33854 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   51u  unix 0xffff8d758468c000      0t0  36031 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   52u  unix 0xffff8d76ac6c6c00      0t0  24853 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   54u  unix 0xffff8d7584700400      0t0  42186 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   55u  unix 0xffff8d75813e4c00      0t0  31824 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   56u  unix 0xffff8d76ac6c7000      0t0  31905 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   57u  unix 0xffff8d75813dc800      0t0  34065 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   58u  unix 0xffff8d7584700000      0t0  42187 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   60u  unix 0xffff8d76a5df6000      0t0  23231 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   61u  unix 0xffff8d7695460c00      0t0  23366 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   62u  unix 0xffff8d7686848800      0t0  42250 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   64u  unix 0xffff8d75813ee400      0t0  28745 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   67u  unix 0xffff8d76a5ee9000      0t0  24298 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   72u  unix 0xffff8d75d7a6a000      0t0  30764 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   82u  unix 0xffff8d758d67e000      0t0  28785 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   85u  unix 0xffff8d768951c000      0t0  28786 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   86u  unix 0xffff8d768d12dc00      0t0  28797 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   87u  unix 0xffff8d758468d000      0t0  28802 /run/systemd/journal/stdout type=STREAM (CONNECTED)
systemd-j    368                 root   88u  unix 0xffff8d759994e400      0t0  28831 /run/systemd/journal/stdout type=STREAM (CONNECTED)
